year,AI & Machine Learning,Accessibility & Design,Climate & Environment,Data Analysis & Statistics,Data Habits,Data Visualization & Charts,Elections & Politics,FOIA & Public Records,Humor & Satire,Investigations & Accountability,Mapping & Geospatial,Newsroom Culture & Career,Programming & Tools,Scraping & Data Collection,Storytime
2010,0,0,0,1,0,4,0,0,0,0,1,0,4,0,0
2011,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0
2012,0,0,0,0,0,1,0,0,2,0,0,0,6,1,0
2013,2,1,0,0,3,1,1,0,1,0,0,0,1,0,0
2014,2,0,0,0,2,3,0,0,1,0,0,0,1,0,1
2015,0,1,0,0,2,3,0,0,0,1,0,0,3,0,0
2016,0,0,0,2,0,2,0,0,0,0,1,0,2,0,3
2017,0,0,0,1,3,0,2,2,0,0,0,0,0,0,2
2018,0,0,1,1,1,0,0,0,0,1,0,5,0,0,1
2019,0,0,0,0,0,0,0,2,0,1,0,6,0,0,1
2020,0,0,0,0,2,0,0,1,1,1,0,1,0,0,4
2021,0,0,1,1,0,0,0,3,0,2,0,0,0,1,3
2022,1,0,0,1,2,0,0,1,1,2,0,2,0,0,0
2023,1,0,0,0,3,0,0,0,2,0,0,1,1,0,2
2024,1,1,0,0,1,1,1,0,0,3,0,1,1,0,0
2025,0,0,1,0,0,0,0,3,0,1,0,1,0,0,4
